file_name,species,time
Frames/202401/Waxwing Spring Red Crossbill flock/frame_0001.jpg,animal,11:16:36
Frames/202405/Small Spring GHO 1/frame_0001.jpg,blank,21:59:54
Frames/202503/WR Woods Cottontail 1/frame_0001.jpg,snowshoe hare,10:16:08
Frames/202503/WR Woods Cottontail 2/frame_0001.jpg,snowshoe hare,06:25:45
Frames/202503/WR Woods Cottontail 3/frame_0002.jpg,snowshoe hare,15:23:33
Frames/202503/WR Woods Coyote 2/frame_0001.jpg,red fox,17:57:42
Frames/202406/Bluebird lane Red-headed woodpecker/frame_0005.jpg,animal,16:48:05
Frames/202406/Rootball Spring Lion 1/frame_0001.jpg,cat family,04:16:10
Frames/202406/Saddlestring Moose 1 and calf/frame_0001.jpg,mule deer,00:50:49
Frames/202406/Saddlestring Moose 2 and calf/frame_0001.jpg,cervidae family,01:24:56
Frames/202406/Saddlestring Moose 3 and calf/frame_0001.jpg,cervidae family,01:33:49
Frames/202505/Aspen Meadow Spring Canada Jay 1/frame_0001.jpg,animal,06:27:17
Frames/202505/Birdbath Black-capped and Mountain Chickadees/frame_0001.jpg,blank,18:29:39
Frames/202505/Mid Ridge Lion/frame_0001.jpg,animal,07:09:06
Frames/202505/Mid Ridge Moose 1 Bull (October)/frame_0002.jpg,animal,11:33:54
Frames/202505/WR Woods Trespasser 1/frame_0003.jpg,domestic dog,17:55:44
Frames/202505/Wetlands Lion 1/frame_0001.jpg,cat family,12:48:59
Frames/202505/Wetlands Lodge Beaver 1/frame_0001.jpg,mouse species,04:17:22
Frames/202505/Wetlands Lodge Mink 1/frame_0001.jpg,mammal,22:42:03
Frames/202505/Wetlands Lodge Mink 2/frame_0008.jpg,animal,05:19:22
Frames/202505/Wetlands Mink 1 ???/frame_0001.jpg,blank,05:04:33
Frames/202505/Wetlands Moose 1 Snow Squall/frame_0002.jpg,cervidae family,04:53:05
Frames/202505/Wetlands Moose 4 Closeup/frame_0001.jpg,elk,20:40:27
Frames/202505/Wetlands Muskrat 1/frame_0001.jpg,blank,00:46:47
Frames/202505/Wetlands Raven 1 Flying/frame_0001.jpg,blank,16:43:17
Frames/202407-8/Birdbath Spring Flicker 1 - Flying/frame_0001.jpg,blank,10:33:57
Frames/202407-8/Lodge Muskrat 1/frame_0001.jpg,blank,00:18:35
Frames/202407-8/Lodge beaver 1/frame_0001.jpg,myocastoridae family,21:41:15
Frames/202407-8/Lodge beaver 2/frame_0001.jpg,blank,00:00:33
Frames/202407-8/QWetlands Mallards 2 babies/frame_0001.jpg,animal,09:25:50
Frames/202407-8/Spring Birds 1/frame_0001.jpg,animal,09:04:19
Frames/202407-8/Spring Elk csalf/frame_0007.jpg,mule deer,06:46:49
Frames/202407-8/Spring Owl 1 -  2 Owls /frame_0001.jpg,animal,05:38:55
Frames/202407-8/Spring Western Tanager 1/frame_0001.jpg,blank,09:30:54
Frames/202407-8/WR Flicker 1/frame_0001.jpg,blank,14:42:36
Frames/202407-8/WR Woods Moose 4 nap/frame_0007.jpg,elk,10:55:58
Frames/202407-8/Wetlands Beaver 2/frame_0001.jpg,blank,23:33:01
Frames/202407-8/Wetlands Beaver 3/frame_0002.jpg,myocastoridae family,22:02:27
Frames/202407-8/Wetlands Muskrat 1/frame_0001.jpg,blank,15:07:36
Frames/202407-8/Wetlands Rain 1/frame_0001.jpg,blank,14:39:23
Frames/202407-8/Wetlands Squirrell1/frame_0001.jpg,blank,14:11:36
Frames/202407-8/Wetlands beaver 1 !!!/frame_0005.jpg,mouse species,04:02:41
Frames/202407-8/Wetlands beaver 1/frame_0005.jpg,north american river otter,20:07:54
Frames/202407-8/Wr Woods Moose 6 nap/frame_0001.jpg,elk,13:10:24
Frames/202506/Aspen Meadow Spring Elk 10/frame_0001.jpg,mule deer,08:54:19
