file_name,date,time,seq_id,species,max_count,start_time,end_time,duration_seconds,match,folder,gpt_species,gpt_count,gpt_summary,gpt_individuals,sample_image
Frames/202506/Aspen Meadow Spring Elk 1 Baby/frame_0001.jpg,2020-01-06,17:32:28,folder_Aspen Meadow Spring Elk 1 Baby_0,elk,2,2020-01-06 17:32:28,2020-01-06 17:33:00,32,True,Frames/202506/Aspen Meadow Spring Elk 1 Baby,Cervus canadensis (elk),2,"In an aspen meadow near Bailey or Evergreen, Colorado, a healthy elk calf and an adult elk are observed. The calf is walking and appears to be in good health, with visible spots on its coat. The adult elk is following closely, suggesting a parental relationship. The temperature is 43F, and the scene is captured in the late afternoon.","[{'id': 'elk_calf_1', 'species': 'Cervus canadensis (elk)', 'sex': 'unknown', 'approx_age': 'young', 'health': 'healthy', 'activity': 'walking', 'interaction': 'near elk_1', 'notes': 'Visible spots on coat indicating youth.'}, {'id': 'elk_1', 'species': 'Cervus canadensis (elk)', 'sex': 'unknown', 'approx_age': 'adult', 'health': 'healthy', 'activity': 'following', 'interaction': 'near elk_calf_1', 'notes': 'Likely a parent due to proximity to calf.'}]",images/Frames/202506/Aspen Meadow Spring Elk 1 Baby/frame_0001.jpg
Frames/202506/Aspen Meadow Spring Elk 10/frame_0001.jpg,2020-01-10,08:54:19,folder_Aspen Meadow Spring Elk 10_1,mule deer,1,2020-01-10 08:54:19,2020-01-10 08:54:37,18,False,Frames/202506/Aspen Meadow Spring Elk 10,Odocoileus hemionus (mule deer),1,"An adult mule deer is observed walking through an aspen meadow in the early morning. The temperature is 57F, and the deer appears healthy and alone, moving steadily through the area.","[{'id': 'deer_1', 'species': 'Odocoileus hemionus (mule deer)', 'sex': 'unknown', 'approx_age': 'adult', 'health': 'healthy', 'activity': 'walking', 'interaction': 'none', 'notes': 'The deer is moving through the meadow.'}]",images/Frames/202506/Aspen Meadow Spring Elk 10/frame_0001.jpg
Frames/202506/Aspen Meadow Spring Elk 11/frame_0015.jpg,2020-01-20,04:09:00,folder_Aspen Meadow Spring Elk 11_2,elk,3,2020-01-20 04:08:32,2020-01-20 04:09:20,48,True,Frames/202506/Aspen Meadow Spring Elk 11,Cervus canadensis (elk),2,"In an aspen meadow near Bailey or Evergreen, Colorado, an adult elk and a calf are observed. The adult elk appears alert, possibly watching over the calf, which is moving around. The temperature is 71F, indicating a warm environment. The scene captures a typical early morning interaction between an elk and its young.","[{'id': 'elk_1', 'species': 'Cervus canadensis (elk)', 'sex': 'unknown', 'approx_age': 'adult', 'health': 'healthy', 'activity': 'alert', 'interaction': 'near elk_calf_1', 'notes': 'Standing alert, possibly watching over calf.'}, {'id': 'elk_calf_1', 'species': 'Cervus canadensis (elk)', 'sex': 'unknown', 'approx_age': 'young', 'health': 'healthy', 'activity': 'walking', 'interaction': 'near elk_1', 'notes': 'Moving around the adult elk.'}]",images/Frames/202506/Aspen Meadow Spring Elk 11/frame_0001.jpg
Frames/202506/Aspen Meadow Spring Elk 2 Baby/frame_0031.jpg,2020-01-06,17:34:37,folder_Aspen Meadow Spring Elk 2 Baby_3,elk,2,2020-01-06 17:33:37,2020-01-06 17:35:05,88,True,Frames/202506/Aspen Meadow Spring Elk 2 Baby,Cervus canadensis (elk),2,"In an aspen meadow near Bailey or Evergreen, Colorado, two young elk calves are observed. The temperature is 46F, and the time is late afternoon. Elk_calf_1 is walking, while elk_calf_2 is grazing. Both appear healthy with the characteristic spotted coats of young elk. They are seen interacting closely, suggesting social behavior typical of young calves.","[{'id': 'elk_calf_1', 'species': 'Cervus canadensis (elk)', 'sex': 'unknown', 'approx_age': 'young', 'health': 'healthy', 'activity': 'walking', 'interaction': 'near elk_calf_2', 'notes': 'Spotted coat typical of young elk.'}, {'id': 'elk_calf_2', 'species': 'Cervus canadensis (elk)', 'sex': 'unknown', 'approx_age': 'young', 'health': 'healthy', 'activity': 'grazing', 'interaction': 'near elk_calf_1', 'notes': 'Spotted coat typical of young elk.'}]",images/Frames/202506/Aspen Meadow Spring Elk 2 Baby/frame_0001.jpg
Frames/202506/Aspen Meadow Spring Elk 3 Baby/frame_0001.jpg,2020-01-06,17:35:38,folder_Aspen Meadow Spring Elk 3 Baby_4,elk,2,2020-01-06 17:35:38,2020-01-06 17:37:30,112,True,Frames/202506/Aspen Meadow Spring Elk 3 Baby,Cervus canadensis (elk),2,"In an aspen meadow near Bailey or Evergreen, Colorado, two young elk calves are observed grazing together in the late afternoon. The temperature is 52F, and both calves appear healthy with characteristic white spots. Their close proximity suggests social behavior typical of young elk.","[{'id': 'elk_calf_1', 'species': 'Cervus canadensis (elk)', 'sex': 'unknown', 'approx_age': 'young', 'health': 'healthy', 'activity': 'grazing', 'interaction': 'near elk_calf_2', 'notes': 'Visible white spots typical of young elk.'}, {'id': 'elk_calf_2', 'species': 'Cervus canadensis (elk)', 'sex': 'unknown', 'approx_age': 'young', 'health': 'healthy', 'activity': 'grazing', 'interaction': 'near elk_calf_1', 'notes': 'Visible white spots typical of young elk.'}]",images/Frames/202506/Aspen Meadow Spring Elk 3 Baby/frame_0001.jpg
Frames/202506/Aspen Meadow Spring Elk 4/frame_0001.jpg,2020-01-20,01:28:39,folder_Aspen Meadow Spring Elk 4_5,blank,0,2020-01-20 01:28:39,2020-01-20 01:29:07,28,False,Frames/202506/Aspen Meadow Spring Elk 4,,0,"The camera trap images from an aspen meadow near Bailey or Evergreen, Colorado, show no visible wildlife activity during the early morning hours. The temperature is recorded at 73F, but no animals are present in the frames to observe any behavior or interactions.",[],images/Frames/202506/Aspen Meadow Spring Elk 4/frame_0001.jpg
Frames/202506/Aspen Meadow Spring Elk 5/frame_0001.jpg,2020-01-20,03:59:23,folder_Aspen Meadow Spring Elk 5_6,elk,1,2020-01-20 03:59:23,2020-01-20 03:59:53,30,True,Frames/202506/Aspen Meadow Spring Elk 5,Cervus canadensis (elk),1,"In the early morning hours, an adult elk is observed walking through a lush aspen meadow. The temperature is 57F, which is relatively mild for the time of day. The elk appears healthy and is alone, moving steadily through the grass.","[{'id': 'elk_1', 'species': 'Cervus canadensis (elk)', 'sex': 'unknown', 'approx_age': 'adult', 'health': 'healthy', 'activity': 'walking', 'interaction': 'none', 'notes': 'The elk is moving through the meadow.'}]",images/Frames/202506/Aspen Meadow Spring Elk 5/frame_0001.jpg
Frames/202506/Aspen Meadow Spring Elk 6/frame_0002.jpg,2020-01-20,04:02:01,folder_Aspen Meadow Spring Elk 6_7,elk,2,2020-01-20 04:01:59,2020-01-20 04:03:07,68,True,Frames/202506/Aspen Meadow Spring Elk 6,Cervus canadensis (elk),2,"In an aspen meadow near Bailey or Evergreen, Colorado, two young elk calves are observed walking together in the early morning. The temperature is a mild 59F. Both calves appear healthy with their characteristic spotted coats, indicating their young age. They are moving through the lush green grass, likely exploring or foraging in the meadow.","[{'id': 'elk_calf_1', 'species': 'Cervus canadensis (elk)', 'sex': 'unknown', 'approx_age': 'young', 'health': 'healthy', 'activity': 'walking', 'interaction': 'near elk_calf_2', 'notes': 'Spotted coat typical of young elk.'}, {'id': 'elk_calf_2', 'species': 'Cervus canadensis (elk)', 'sex': 'unknown', 'approx_age': 'young', 'health': 'healthy', 'activity': 'walking', 'interaction': 'near elk_calf_1', 'notes': 'Spotted coat typical of young elk.'}]",images/Frames/202506/Aspen Meadow Spring Elk 6/frame_0001.jpg
Frames/202506/Aspen Meadow Spring Elk 7/frame_0001.jpg,2020-01-20,04:03:40,folder_Aspen Meadow Spring Elk 7_8,elk,2,2020-01-20 04:03:40,2020-01-20 04:04:30,50,True,Frames/202506/Aspen Meadow Spring Elk 7,Cervus canadensis (elk),2,"In an aspen meadow near Bailey or Evergreen, Colorado, two young elk are observed grazing in the early morning at a temperature of 64F. Both appear healthy and are interacting closely as they feed. The scene captures a peaceful moment in the meadow, with the elk focused on grazing.","[{'id': 'elk_1', 'species': 'Cervus canadensis (elk)', 'sex': 'unknown', 'approx_age': 'young', 'health': 'healthy', 'activity': 'grazing', 'interaction': 'near elk_2', 'notes': 'Visible in all frames, primarily grazing.'}, {'id': 'elk_2', 'species': 'Cervus canadensis (elk)', 'sex': 'unknown', 'approx_age': 'young', 'health': 'healthy', 'activity': 'grazing', 'interaction': 'near elk_1', 'notes': 'Visible in all frames, primarily grazing.'}]",images/Frames/202506/Aspen Meadow Spring Elk 7/frame_0001.jpg
Frames/202506/Aspen Meadow Spring Elk 8/frame_0001.jpg,2020-01-20,04:05:04,folder_Aspen Meadow Spring Elk 8_9,elk,4,2020-01-20 04:05:04,2020-01-20 04:06:26,82,True,Frames/202506/Aspen Meadow Spring Elk 8,Cervus canadensis (elk),4,"In an aspen meadow, a group of elk, including one adult and three calves, are observed. The adult elk is grazing while one calf is nearby, also grazing. Two other calves are walking through the meadow. The temperature is 66F, and the scene is captured in the early morning.","[{'id': 'elk_1', 'species': 'Cervus canadensis (elk)', 'sex': 'unknown', 'approx_age': 'adult', 'health': 'healthy', 'activity': 'grazing', 'interaction': 'near elk_calf_1', 'notes': ''}, {'id': 'elk_calf_1', 'species': 'Cervus canadensis (elk)', 'sex': 'unknown', 'approx_age': 'young', 'health': 'healthy', 'activity': 'grazing', 'interaction': 'near elk_1', 'notes': ''}, {'id': 'elk_calf_2', 'species': 'Cervus canadensis (elk)', 'sex': 'unknown', 'approx_age': 'young', 'health': 'healthy', 'activity': 'walking', 'interaction': 'none', 'notes': ''}, {'id': 'elk_calf_3', 'species': 'Cervus canadensis (elk)', 'sex': 'unknown', 'approx_age': 'young', 'health': 'healthy', 'activity': 'walking', 'interaction': 'none', 'notes': ''}]",images/Frames/202506/Aspen Meadow Spring Elk 8/frame_0001.jpg
